label,text
Not_Fraud,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am
Not_Fraud,"Oops, I'll let you know when my roommate's done"
Not_Fraud,I see the letter B on my car
Not_Fraud,Anything lor... U decide...
Not_Fraud,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
Not_Fraud,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
Not_Fraud,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
Fraud,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
Not_Fraud,WHO ARE YOU SEEING?
Not_Fraud,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
Not_Fraud,No calls..messages..missed calls
Not_Fraud,Didn't you get hep b immunisation in nigeria.
Not_Fraud,"Fair enough, anything going on?"
Not_Fraud,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
Not_Fraud,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
Not_Fraud,What you thinked about me. First time you saw me in class.
Not_Fraud,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
Not_Fraud,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
Not_Fraud,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."""
Fraud,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
Not_Fraud,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
Fraud,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! "
Not_Fraud,"Sorry, I'll call later in meeting."
Not_Fraud,Tell where you reached
Not_Fraud,Yes..gauti and sehwag out of odi series.
Not_Fraud,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
Not_Fraud,Ha ha ha good joke. Girls are situation seekers.
Not_Fraud,Its a part of checking IQ
Not_Fraud,"Sorry my roommates took forever, it ok if I come by now?"
Not_Fraud,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
Fraud,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589"
Not_Fraud,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."""
Fraud,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
Fraud,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!"""
Not_Fraud,I plane to give on this month end.
Not_Fraud,Wah lucky man... Then can save money... Hee...
Not_Fraud,Finished class where are you.
Not_Fraud,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
Not_Fraud,K..k:)where are you?how did you performed?
Not_Fraud,U can call me now...
Not_Fraud,I am waiting machan. Call me once you free.
Not_Fraud,Thats cool. i am a gentleman and will treat you with dignity and respect.
Not_Fraud,I like you peoples very much:) but am very shy pa.
Not_Fraud,Does not operate after  &lt;#&gt;  or what
Not_Fraud,Its not the same here. Still looking for a job. How much do Ta's earn there.
Not_Fraud,"Sorry, I'll call later"
Not_Fraud,K. Did you call me just now ah? 
Not_Fraud,Ok i am on the way to home hi hi
Not_Fraud,You will be in the place of that man
Not_Fraud,Yup next stop.
Not_Fraud,"I call you later, don't have network. If urgnt, sms me."
Not_Fraud,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
Not_Fraud,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
Not_Fraud,I'm really not up to it still tonight babe
Not_Fraud,"Ela kano.,il download, come wen ur free.."
Not_Fraud,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!
Not_Fraud,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. 
Not_Fraud,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
Fraud,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!
Not_Fraud,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
Fraud,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML"
Not_Fraud,Watching telugu movie..wat abt u?
Not_Fraud,i see. When we finish we have loads of loans to pay
Not_Fraud,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham"""
Not_Fraud,Please don't text me anymore. I have nothing else to say.
Not_Fraud,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
Not_Fraud,I'm still looking for a car to buy. And have not gone 4the driving test yet.
Not_Fraud,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
Not_Fraud,Umma my life and vava umma love you lot dear
Not_Fraud,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
Not_Fraud,"Aight, I'll hit you up when I get some cash"
Not_Fraud,How would my ip address test that considering my computer isn't a minecraft server
Not_Fraud,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
Not_Fraud,Dont worry. I guess he's busy.
Not_Fraud,What is the plural of the noun research?
Not_Fraud,Going for dinner.msg you after.
Not_Fraud,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
Fraud,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
Not_Fraud,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
Not_Fraud,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
Fraud,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) 
Not_Fraud,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 
Not_Fraud,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
Fraud,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
Fraud,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
Not_Fraud,here is my new address -apples&pairs&all that malarky
Fraud,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
Not_Fraud,I am going to sao mu today. Will be done only at 12 
Not_Fraud,ÌÏ predict wat time Ì_'ll finish buying?
Not_Fraud,"Good stuff, will do."
Not_Fraud,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
Not_Fraud,Are you there in room.
Not_Fraud,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
Not_Fraud,K..k:)how much does it cost?
Not_Fraud,I'm home.
Not_Fraud,"Dear, will call Tmorrow.pls accomodate."
Not_Fraud,First answer my question.
Fraud,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone
Fraud,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
Not_Fraud,I only haf msn. It's yijue@hotmail.com
Not_Fraud,He is there. You call and meet him
Not_Fraud,No no. I will check all rooms befor activities
Fraud,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
Not_Fraud,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...
Not_Fraud,"K, text me when you're on the way"
Not_Fraud,"Sir, Waiting for your mail."
Not_Fraud,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"""
Not_Fraud,I know you are. Can you pls open the back?
Not_Fraud,Yes see ya not on the dot
Not_Fraud,Whats the staff name who is taking class for us?
Fraud,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end"
Not_Fraud,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
Not_Fraud,K..i deleted my contact that why?
Not_Fraud,Sindu got job in birla soft ..
Not_Fraud,The wine is flowing and i'm i have nevering..
Not_Fraud,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
Not_Fraud,Ok... Ur typical reply...
Not_Fraud,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
Not_Fraud,Aaooooright are you at work?
Not_Fraud,I'm leaving my house now...
Not_Fraud,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?"
Fraud,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
Fraud,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
Not_Fraud,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
Not_Fraud,New car and house for my parents.:)i have only new job in hand:)
Not_Fraud,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
Fraud,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
Fraud,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
Not_Fraud,I place all ur points on e cultures module already.
Fraud,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
Not_Fraud,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
Not_Fraud,Great escape. I fancy the bridge but needs her lager. See you tomo 
Not_Fraud,Yes :)it completely in out of form:)clark also utter waste.
Not_Fraud,"Sir, I need AXIS BANK account no and bank address."
Not_Fraud,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... "
Not_Fraud,What time you coming down later? 
Not_Fraud,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... "
Not_Fraud,"Well, i'm gonna finish my bath now. Have a good...fine night."
Not_Fraud,Let me know when you've got the money so carlos can make the call
Not_Fraud,U still going to the mall?
Not_Fraud,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
Not_Fraud,Text her. If she doesnt reply let me know so i can have her log in
Not_Fraud,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
Not_Fraud,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
Not_Fraud,Lol no. U can trust me.
Not_Fraud,ok. I am a gentleman and will treat you with dignity and respect.
Not_Fraud,"He will, you guys close?"
Not_Fraud,Going on nothing great.bye
Not_Fraud,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
Not_Fraud,"Haha awesome, be there in a minute"
Fraud,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!
Not_Fraud,Have you got Xmas radio times. If not i will get it now
Not_Fraud,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
Fraud,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
Not_Fraud,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
Not_Fraud,Hi :)finally i completed the course:)
Not_Fraud,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
Not_Fraud,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
Not_Fraud,Gud mrng dear hav a nice day
Not_Fraud,Did u got that persons story
Not_Fraud,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? 
Not_Fraud,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
Not_Fraud,"Found it, ENC  &lt;#&gt; , where you at?"
Not_Fraud,I sent you  &lt;#&gt;  bucks
Not_Fraud,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
Not_Fraud,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
Not_Fraud,Goodmorning sleeping ga.
Not_Fraud,U call me alter at 11 ok.
Not_Fraud,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...
Not_Fraud,"Aight yo, dats straight dogg"
Not_Fraud,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
Not_Fraud,Both :) i shoot big loads so get ready!
Not_Fraud,"What's up bruv, hope you had a great break. Do have a rewarding semester."
Not_Fraud,Home so we can always chat
Not_Fraud,K:)k:)good:)study well.
Not_Fraud,Yup... How Ì_ noe leh...
Not_Fraud,Sounds great! Are you home now?
Not_Fraud,Finally the match heading towards draw as your prediction.
Not_Fraud,Tired. I haven't slept well the past few nights.
Not_Fraud,Easy ah?sen got selected means its good..
Not_Fraud,I have to take exam with march 3
Not_Fraud,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
Not_Fraud,Ok no prob. Take ur time.
Not_Fraud,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
Not_Fraud,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
Fraud,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
Not_Fraud,Would really appreciate if you call me. Just need someone to talk to.
Fraud,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
Not_Fraud,Hey company elama po mudyadhu.
Not_Fraud,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
Not_Fraud,Dear good morning now only i am up
Not_Fraud,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
Not_Fraud,Dear we are going to our rubber place
Not_Fraud,"Sorry battery died, yeah I'm here"
Not_Fraud,Yes:)here tv is always available in work place..
Fraud,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
Not_Fraud,I have printed it oh. So  &lt;#&gt;  come upstairs
Not_Fraud,Or ill be a little closer like at the bus stop on the same street
Not_Fraud,Where are you?when wil you reach here?
Not_Fraud,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
Fraud,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
Not_Fraud,Tomarrow final hearing on my laptop case so i cant.
Not_Fraud,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
Not_Fraud,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
Not_Fraud,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
Not_Fraud,U don't remember that old commercial?
Not_Fraud,Too late. I said i have the website. I didn't i have or dont have the slippers
Not_Fraud,I asked you to call him now ok
Not_Fraud,Kallis wont bat in 2nd innings.
Not_Fraud,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
Fraud,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
Not_Fraud,Ranjith cal drpd Deeraj and deepak 5min hold
Not_Fraud,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
Not_Fraud,What you doing?how are you?
Not_Fraud,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
Not_Fraud,"I'm back, lemme know when you're ready"
Not_Fraud,Don't necessarily expect it to be done before you get back though because I'm just now headin out
Not_Fraud,Mmm so yummy babe ... Nice jolt to the suzy
Not_Fraud,Where are you lover ? I need you ...
Fraud,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
Not_Fraud,IÛ÷m parked next to a MINI!!!! When are you coming in today do you think?
Not_Fraud,Yup
Not_Fraud,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
Not_Fraud,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
Fraud,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
Not_Fraud,Why you Dint come with us.
Not_Fraud,Same. Wana plan a trip sometme then
Not_Fraud,"Not sure yet, still trying to get a hold of him"
Fraud,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
Not_Fraud,The evo. I just had to download flash. Jealous?
Fraud,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
Not_Fraud,"Come to mu, we're sorting out our narcotics situation"
Not_Fraud,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
Fraud,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
Not_Fraud,"Usf I guess, might as well take 1 car"
Not_Fraud,No objection. My bf not coming.
Not_Fraud,Thanx...
Not_Fraud,Tell rob to mack his gf in the theater
Not_Fraud,"Awesome, I'll see you in a bit"
Not_Fraud,Just sent it. So what type of food do you like?
Not_Fraud,All done? All handed in? Celebrations in full swing yet?
Not_Fraud,You got called a tool?
Not_Fraud,\Wen u miss someone
Not_Fraud,Ok. I asked for money how far
Not_Fraud,Okie...
Not_Fraud,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
Not_Fraud,"K, I might come by tonight then if my class lets out early"
Not_Fraud,Ok..
Not_Fraud,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
Not_Fraud,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
Not_Fraud,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
Not_Fraud,Hey you told your name to gautham ah?
Not_Fraud,Haf u found him? I feel so stupid da v cam was working.
Not_Fraud,Oops. 4 got that bit.
Not_Fraud,Are you this much buzy
Not_Fraud,I accidentally deleted the message. Resend please.
Fraud,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
Not_Fraud,Unless it's a situation where YOU GO GURL would be more appropriate
Not_Fraud,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
Not_Fraud,I cant pick the phone right now. Pls send a message
Not_Fraud,Need a coffee run tomo?Can't believe it's that time of week already
Not_Fraud,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
Not_Fraud,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
Not_Fraud,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? 
Not_Fraud,He is a womdarfull actor
Fraud,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
Not_Fraud,Yup... From what i remb... I think should be can book... 
Not_Fraud,Jos ask if u wana meet up?
Not_Fraud,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.
Fraud,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
Not_Fraud,Where are the garage keys? They aren't on the bookshelf
Not_Fraud,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
Fraud,"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
Not_Fraud,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week
Not_Fraud,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
Not_Fraud,You made my day. Do have a great day too.
Not_Fraud,K.k:)advance happy pongal.
Not_Fraud,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao..."
Not_Fraud,"Not really dude, have no friends i'm afraid :("
Fraud,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
Not_Fraud,"Coffee cake, i guess..."
Not_Fraud,"Merry Christmas to you too babe, i love ya *kisses*"
Not_Fraud,Hey... Why dont we just go watch x men and have lunch... Haha 
Not_Fraud,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
Not_Fraud,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week
Not_Fraud,No problem. How are you doing?
Not_Fraud,Hi da:)how is the todays class?
Not_Fraud,"I'd say that's a good sign but, well, you know my track record at reading women"
Not_Fraud,"Cool, text me when you're parked"
Not_Fraud,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
Not_Fraud,K.k:)apo k.good movie.
Not_Fraud,Maybe i could get book out tomo then return it immediately ..? Or something.
Fraud,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!
Not_Fraud,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
Fraud,Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
Not_Fraud,"Ta-Daaaaa! I am home babe, are you still up ?"
Not_Fraud,Cool. So how come you havent been wined and dined before?
Not_Fraud,Just sleeping..and surfing
Not_Fraud,U calling me right? Call my hand phone...
Not_Fraud,Ok that's great thanx a lot.
